Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet
1,,CONN_01X02,5V-OUT1,CONN_01X02,Pin_Header_Straight_1x02_Pitch2.54mm,1,
2,,Conn_01x04,ATM-Sensor1,ATM-Sensor,ATM-Sensor,1,
3,Battery (multiple cells),Battery,BT1 BT2,Battery,,2,~
4,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x05_Female,Bt3,Conn_01x05_Female,PinHeader_1x05_P2.54mm_Vertical,1,~
5,,C,C19 C20,"0,01uF",CP_Radial_Tantal_D5.0mm_P5.00mm,2,
6,,C,C1 C3 C5 C7 C9 C11 C13 C15 C24 C45 C46,"0,1uF",C_Disc_D5.1mm_W3.2mm_P5.00mm,11,
7,,C,C2 C4 C6 C8 C10 C25,"0,22uF",C_Disc_D5.1mm_W3.2mm_P5.00mm,6,
8,,C,C18 C57,"0,3uF",CP_Radial_Tantal_D5.0mm_P5.00mm,2,
9,,CP,C16,10uF ,CP_Radial_Tantal_D5.0mm_P5.00mm,1,
10,,C,C23,4.7nF,CP_Radial_Tantal_D5.0mm_P5.00mm,1,
11,,CP,C14,47uF,CP_Radial_Tantal_D5.0mm_P2.50mm,1,
12,,D,D6 D7 D8 D9,1N4004,D_DO-15_P10.16mm_Horizontal,4,
13,,D_Schottky,D4 D22 D47 D48,1N5818,D_DO-15_P10.16mm_Horizontal,4,
14,,D_Schottky,D3,1N5818,D_DO-15_P10.16mm_Horizontal,1,
15,,D_Schottky,D15,1N5821,D_DO-15_P10.16mm_Horizontal,1,
16,Diode,D,D1 D5 D10,D,,3,~
17,,D_Schottky,D16,D_1N5919BG Zener,D_DO-15_P10.16mm_Horizontal,1,
18,,D_TVS_ALT,D2,D_TVS_ALT,D_DO-15_P10.16mm_Horizontal,1,
19,"Standex Meder DIP reed relay, SPST, Closing Contact",DIPxx-1Axx-11x,ECU-PWH-RELAY1 ECU-PWR-RELAY1 ECU-PWR-RELAY2 INJECTOR-PWR-RELAY1 INJECTOR-PWR-RELAY2,DIPxx-1Axx-11x,Relay_StandexMeder_DIP_LowProfile,5,https://standexelectronics.com/wp-content/uploads/datasheet_reed_relay_DIP.pdf
20,"Fuse, generic",Fuse,F1 F2,Fuse,,2,~
21,,Conn_02x04_Counter_Clockwise,IC5,LTV827,DIP-8_W7.62mm_Socket_LongPads,1,
22,,Conn_02x04_Counter_Clockwise,IC4,SP721,DIP-8_W7.62mm_LongPads,1,
23,,Conn_02x04_Counter_Clockwise,IC1 IC7 IC8,TC4424EPA,DIP-8_W7.62mm_LongPads,3,
24,,Conn_02x04_Counter_Clockwise,IC3,VR,DIP-8_W7.62mm_LongPads,1,
25,,CONN_01X05,J4,CONN_01X05,Pin_Header_Straight_1x05_Pitch2.54mm,1,
26,,CONN_01X26,J2,CONN_01X26,proto8x6,1,
27,,Conn_02x21_Counter_Clockwise,J1,Conn_02x21_Counter_Clockwise,TE42pin,1,
28,,Conn_01x03,JP-IGN-OUT1,JP-IGN-OUT,Pin_Header_Straight_1x03_Pitch2.54mm,1,
29,,Conn_01x03,JP2,JP2,Pin_Header_Straight_1x03_Pitch2.54mm,1,
30,,Conn_01x03,JP3,JP3,Pin_Header_Straight_1x03_Pitch2.54mm,1,
31,,Conn_01x02,JP4,JP4,Pin_Header_Straight_1x02_Pitch2.54mm,1,
32,,Conn_01x02,JP5,JP5,Pin_Header_Straight_1x02_Pitch2.54mm,1,
33,,LED,LED1 LED2 LED3 LED4 LED5 LED6,LED,LED_D5.0mm,6,
34,,LED,LED7,LED,LED_D3.0mm,1,
35,,LED,LED10,LED10,LED_D3.0mm,1,
36,,LED,LED11,LED11,LED_D3.0mm,1,
37,,LED,LED12,LED12,LED_D3.0mm,1,
38,,LED,LED8,LED8,LED_D3.0mm,1,
39,,LED,LED9,LED9,LED_D3.0mm,1,
40,,Conn_01x06,MPX4250AP1,Conn_01x06,MPX4250A,1,
41,,BS170-RESCUE-speedy,Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8,STP62NS04Z,TO-220_Neutral123_Vertical,8,
42,"-0.18A Id, -60V Vds, P-Channel MOSFET, TO-92",TP0610L,Q9,VP3203N3-G,TO-92_Inline,1,http://www.vishay.com/docs/70209/70209.pdf
43,,R,R80 R82,0,R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal,2,
44,,R,R11 R14 R17 R20 R35 R37 R55 R62 R70 R88 R89 R93 R97,100k,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,13,
45,,R,R66,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
46,Resistor,R,R68,100k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~
47,,R,R54,10k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
48,,R,R26 R27 R86 R90 R95 R96,160 2W,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,6,
49,,R,R10 R13 R16 R19 R21 R23 R24 R39 R40 R57 R61 R65 R84 R85 R91 R92,1k,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,16,
50,,R,R51 R52,1k,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,
51,,R,R60,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,
52,Resistor,R,R67,1k,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,~
53,,R,R1 R3 R5 R25 R28 R83 R87 R94,"2,49k",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,8,
54,,R,R7,"3,9k",R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,
55,,R,R59,3.3k,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,1,
56,,R,R2 R4 R6 R8 R22 R41 R99,470,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,7,
57,,R,R29 R50,620,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,2,
58,,R,R9 R12 R15 R18,680,R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal,4,
59,,Conn_01x04_Female,SERIAL3,SERIAL3,Pin_Header_Straight_1x04_Pitch2.54mm,1,
60,,ARDUINO_MEGA_SHIELD,SHIELD1,ARDUINO_MEGA_SHIELD,ARDUINO MEGA SHIELD,1,
61,,Conn_02x06_Top_Bottom,SHIELD2,ULN_SHIELD,ULN_SHIELD,1,
62,"300 mA Low Dropout Voltage Regulator, Fixed Output 1.2V, SOT-23",LD1085V50,U1,LD1085V50,TO-220-LongPads,1,http://www.a-powerusa.com/docs/APE8865-3.pdf
63,,Conn_01x01,dummyPad1,Conn_01x01,Pin_Header_Straight_1x01_Pitch1.27mm,1,





Component Groups:,63
Component Count:,159
Fitted Components:,159
Number of PCBs:,1
Total components:,159
Schematic Version:,
Schematic Date:,
BoM Date:,fre 25 jan 2019 17:25:13
Schematic Source:,/home/jp/Documents/KiCad/vich/speedy.sch
KiCad Version:,Eeschema 5.0.0+dfsg1-2
